Area,Year,Item,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp_f
Albania,1990,Maize,36613,1485,121.0,61.466
Albania,1991,Maize,29068,1485,121.0,59.648
Albania,1992,Maize,24876,1485,121.0,60.908
Albania,1993,Maize,24185,1485,121.0,60.89
Albania,1994,Maize,25848,1485,201.0,62.528000000000006
Albania,1995,Maize,31300,1485,251.0,60.206
Albania,1996,Maize,32604,1485,313.96,60.152
Albania,1997,Maize,31862,1485,376.93,60.62
Albania,1998,Maize,33416,1485,439.89,61.286
Albania,1999,Maize,37455,1485,502.86,61.826
Albania,2000,Maize,38811,1485,565.82,62.00600000000001
Albania,2001,Maize,38135,1485,628.79,61.862
Albania,2002,Maize,39460,1485,691.75,61.646
Albania,2004,Maize,46197,1485,817.68,61.088
Albania,2005,Maize,45442,1485,880.64,60.206
Albania,2006,Maize,50111,1485,943.61,60.656
Albania,2007,Maize,46732,1485,1006.57,62.00600000000001
Albania,2008,Maize,50000,1485,1069.54,62.078
Albania,2009,Maize,55693,1485,1132.5,62.114
Albania,2010,Maize,66790,1485,1311.17,61.736000000000004
Albania,2011,Maize,59869,1485,1302.63,61.61
Albania,2012,Maize,67290,1485,766.25,62.059999999999995
Albania,2013,Maize,69533,1485,982.32,63.338
Algeria,1990,Maize,16500,89,1828.92,63.464
Algeria,1991,Maize,19231,89,2461.8,61.268
Algeria,1992,Maize,22828,89,1215.47,61.286
Algeria,1993,Maize,12500,89,1021.89,62.6
Algeria,1994,Maize,4512,89,1255.02,64.184
Algeria,1995,Maize,16115,89,2697.09,63.248000000000005
Algeria,1996,Maize,17154,89,479.77,62.168
Algeria,1997,Maize,21417,89,401.22,64.112
Algeria,1998,Maize,17222,89,322.84,62.852
Algeria,1999,Maize,22375,89,654.45,64.346
Algeria,2000,Maize,36186,89,603.67,64.22
Algeria,2001,Maize,27175,89,710.11,64.634
Algeria,2002,Maize,33480,89,816.55,64.13
Algeria,2004,Maize,31729,89,3747.86,63.284
Algeria,2005,Maize,33864,89,3662.87,62.942
Algeria,2006,Maize,65668,89,4110.72,64.634
Algeria,2007,Maize,85625,89,5390.79,63.35600000000001
Algeria,2008,Maize,44714,89,11556.12,63.59
Algeria,2009,Maize,30914,89,3867.99,64.004
Algeria,2010,Maize,25827,89,1295.88,63.662
Algeria,2011,Maize,23374,89,13861.76,64.02199999999999
Algeria,2012,Maize,25583,89,17379.76,64.238
Algeria,2013,Maize,33649,89,17278.65,63.769999999999996
Angola,1990,Cassava,41177,1010,64.0,75.416
Angola,1991,Cassava,40295,1010,79.0,75.236
Angola,1992,Cassava,42295,1010,23.0,75.128
Angola,1993,Cassava,42295,1010,169.0,75.47
Angola,1994,Cassava,58596,1010,25.5,75.27199999999999
Angola,1995,Cassava,51000,1010,336.0,76.208
Angola,1996,Cassava,48077,1010,40.0,75.398
Angola,1997,Cassava,44205,1010,40.0,75.30799999999999
Angola,1998,Cassava,55728,1010,40.0,76.928
Angola,1999,Cassava,59821,1010,40.0,75.866
Angola,2000,Cassava,82992,1010,40.0,75.938
Angola,2001,Cassava,94072,1010,40.0,75.974
Angola,2002,Cassava,110071,1010,40.0,76.622
Angola,2004,Cassava,125605,1010,40.0,75.596
Angola,2005,Cassava,117628,1010,40.0,75.938
Angola,2006,Cassava,117201,1010,40.0,75.452
Angola,2007,Cassava,115387,1010,40.0,75.632
Angola,2008,Cassava,148084,1010,40.0,75.686
Angola,2009,Cassava,151759,1010,40.0,75.794
Angola,2010,Cassava,155782,1010,40.0,75.992
Angola,2011,Cassava,133649,1010,40.0,75.47
Angola,2012,Cassava,100073,1010,40.0,75.632
Angola,2013,Cassava,140517,1010,40.0,76.19
Argentina,1990,Cassava,100000,591,26156.0,63.428000000000004
Argentina,1991,Cassava,100000,591,26156.0,63.751999999999995
Argentina,1992,Cassava,100000,591,26156.0,62.762
Argentina,1993,Cassava,100000,591,26156.0,63.176
Argentina,1994,Cassava,100000,591,30195.0,64.706
Argentina,1995,Cassava,100000,591,37842.0,63.932
Argentina,1996,Cassava,100000,591,54595.0,63.751999999999995
Argentina,1997,Cassava,100000,591,77691.0,64.922
Argentina,1998,Cassava,100000,591,62397.0,63.013999999999996
Argentina,1999,Cassava,100000,591,62831.39,62.87
Argentina,2000,Cassava,100000,591,63265.78,62.564
Argentina,2001,Cassava,100000,591,63700.17,63.878
Argentina,2002,Cassava,100000,591,64134.56,63.64399999999999
Argentina,2004,Cassava,100000,591,65003.34,63.806000000000004
Argentina,2005,Cassava,100000,591,65437.73,63.176
Argentina,2006,Cassava,100000,591,65872.12,64.58
Argentina,2007,Cassava,100000,591,81582.64,62.078
Argentina,2008,Cassava,100000,591,87149.01,63.878
Argentina,2009,Cassava,101695,591,61586.56,64.688
Argentina,2010,Cassava,101000,591,105915.04,63.193999999999996
Argentina,2011,Cassava,100000,591,100424.62,63.64399999999999
Argentina,2012,Cassava,100000,591,136185.08,64.724
Argentina,2013,Cassava,99459,591,171945.54,61.61
Armenia,1992,Maize,32344,562,8.0,45.392
Armenia,1993,Maize,32261,562,8.0,45.842
Armenia,1994,Maize,32667,562,23.0,47.912
Armenia,1995,Maize,18261,562,23.9,49.568
Armenia,1996,Maize,22239,562,32.0,49.19
Armenia,1997,Maize,45548,562,41.46,48.379999999999995
Armenia,1998,Maize,26082,562,50.92,50.504
Armenia,1999,Maize,40303,562,60.38,50.198
Armenia,2000,Maize,23178,562,69.85,49.424
Armenia,2001,Maize,37913,562,79.31,50.324
Armenia,2002,Maize,37380,562,88.77,48.938
Armenia,2004,Maize,61791,562,204.77,49.19
Armenia,2005,Maize,44692,562,220.51,49.244
Armenia,2006,Maize,33271,562,227.55,49.802
Armenia,2007,Maize,53262,562,241.71,48.992
Armenia,2008,Maize,53424,562,218.2,49.118
Armenia,2009,Maize,57763,562,198.36,49.406
Armenia,2010,Maize,46724,562,278.72,52.358000000000004
Armenia,2011,Maize,54257,562,278.72,48.074
Armenia,2012,Maize,62215,562,278.72,50.36
Armenia,2013,Maize,67114,562,278.72,51.944
Australia,1990,Maize,41821,534,17866.0,62.24
Australia,1991,Maize,39938,534,17866.0,62.204
Australia,1992,Maize,51721,534,22234.0,60.403999999999996
Australia,1993,Maize,44261,534,23899.0,62.078
Australia,1994,Maize,46620,534,21057.0,61.574
Australia,1995,Maize,48263,534,25598.0,61.052
Australia,1996,Maize,57689,534,31185.0,61.016000000000005
Australia,1997,Maize,59403,534,34091.0,61.664
Australia,1998,Maize,47544,534,37215.0,61.304
Australia,1999,Maize,51212,534,34200.0,62.186
Australia,2000,Maize,49360,534,33475.0,62.74399999999999
Australia,2001,Maize,46471,534,32710.0,61.934
Australia,2002,Maize,54929,534,26651.0,61.934
Australia,2004,Maize,56326,534,36276.0,61.952
Australia,2005,Maize,57983,534,34310.0,62.474000000000004
Australia,2006,Maize,53856,534,35900.0,62.15
Australia,2007,Maize,49103,534,32446.25,63.482
Australia,2008,Maize,56912,534,42935.38,62.059999999999995
Australia,2009,Maize,58171,534,38065.68,63.302
Australia,2010,Maize,55593,534,42169.39,62.096
Australia,2011,Maize,57390,534,47632.99,62.42
Australia,2012,Maize,64654,534,48687.88,62.312
Australia,2013,Maize,64441,534,45177.18,63.302
Austria,1990,Maize,81800,1110,4246.0,48.614000000000004
Austria,1991,Maize,84800,1110,4487.0,46.67
Austria,1992,Maize,64800,1110,3897.0,49.082
Austria,1993,Maize,89710,1110,3984.0,47.264
Austria,1994,Maize,79160,1110,3619.0,49.802
Austria,1995,Maize,85000,1110,3402.0,47.821999999999996
Austria,1996,Maize,86200,1110,3565.0,45.32
Austria,1997,Maize,97800,1110,3689.6,47.066
Austria,1998,Maize,96100,1110,3340.3,48.218
Austria,1999,Maize,96000,1110,3418.6,48.506
Austria,2000,Maize,98600,1110,3563.2,50.144
Austria,2001,Maize,90869,1110,3132.2,47.75
Austria,2002,Maize,99815,1110,3079.2,49.316
Austria,2004,Maize,96544,1110,3301.7,47.768
Austria,2005,Maize,106570,1110,3404.0,47.48
Austria,2006,Maize,96370,1110,3415.7,48.434
Austria,2007,Maize,103128,1110,3526.6,50.054
Austria,2008,Maize,113173,1110,4246.7,49.928000000000004
Austria,2009,Maize,108293,1110,3531.8,49.064
Austria,2010,Maize,97247,1110,3692.4,47.048
Austria,2011,Maize,112996,1110,3441.5,48.956
Austria,2012,Maize,107025,1110,3563.3,48.956
Austria,2013,Maize,81173,1110,3108.6,50.054
Azerbaijan,1992,Maize,18740,447,148.68,51.674
Azerbaijan,1993,Maize,13918,447,148.68,50.954
Azerbaijan,1994,Maize,14619,447,148.68,52.376
Azerbaijan,1995,Maize,11810,447,148.68,55.058
Azerbaijan,1996,Maize,17369,447,148.68,53.528000000000006
Azerbaijan,1997,Maize,24340,447,148.68,53.402
Azerbaijan,1998,Maize,29541,447,148.68,55.022
Azerbaijan,1999,Maize,35343,447,148.68,54.932
Azerbaijan,2000,Maize,32484,447,148.68,54.698
Azerbaijan,2001,Maize,37823,447,148.68,55.346000000000004
Azerbaijan,2002,Maize,43463,447,148.68,54.41
Azerbaijan,2004,Maize,46071,447,148.68,54.968
Azerbaijan,2005,Maize,47703,447,148.68,55.184
Azerbaijan,2006,Maize,45777,447,148.68,54.788
Azerbaijan,2007,Maize,46175,447,148.68,54.95
Azerbaijan,2008,Maize,47784,447,262.99,54.14
Azerbaijan,2009,Maize,47990,447,316.18,54.68
Azerbaijan,2010,Maize,45551,447,333.85,56.93
Azerbaijan,2011,Maize,45460,447,461.84,53.221999999999994
Azerbaijan,2012,Maize,51029,447,516.35,55.4
Azerbaijan,2013,Maize,53903,447,489.8,57.416
Bahamas,1992,Cassava,95859,1292,484.59,77.18
Bahamas,1993,Cassava,90909,1292,484.59,77.468
Bahamas,1994,Cassava,80000,1292,484.59,78.314
Bahamas,1995,Cassava,77089,1292,484.59,77.792
Bahamas,1996,Cassava,75783,1292,484.59,77.108
Bahamas,1997,Cassava,75317,1292,484.59,78.458
Bahamas,1998,Cassava,75000,1292,484.59,78.69200000000001
Bahamas,1999,Cassava,80000,1292,484.59,77.55799999999999
Bahamas,2000,Cassava,100000,1292,484.59,77.288
Bahamas,2001,Cassava,102308,1292,375.89,77.414
Bahamas,2002,Cassava,100000,1292,384.23,78.422
Bahamas,2004,Cassava,103333,1292,269.66,77.828
Bahamas,2005,Cassava,106816,1292,315.74,77.774
Bahamas,2006,Cassava,106250,1292,268.2,77.612
Bahamas,2007,Cassava,105556,1292,268.2,78.278
Bahamas,2008,Cassava,139562,1292,268.2,78.134
Bahamas,2009,Cassava,180917,1292,268.2,77.828
Bahamas,2010,Cassava,221795,1292,268.2,76.586
Bahamas,2011,Cassava,225128,1292,268.2,78.368
Bahamas,2012,Cassava,223000,1292,268.2,77.828
Bahamas,2013,Cassava,221509,1292,268.2,78.584
Bahrain,1990,Potatoes,186667,83,14.05,79.268
Bahrain,1991,Potatoes,206667,83,14.05,78.314
Bahrain,1992,Potatoes,188000,83,14.05,77.162
Bahrain,1993,Potatoes,162857,83,14.05,78.962
Bahrain,1994,Potatoes,147500,83,30.86,79.988
Bahrain,1995,Potatoes,166667,83,12.46,79.124
Bahrain,1996,Potatoes,125000,83,12.16,80.168
Bahrain,1997,Potatoes,160000,83,9.42,78.998
Bahrain,1998,Potatoes,160000,83,11.15,81.572
Bahrain,1999,Potatoes,100000,83,12.5,81.80600000000001
Bahrain,2000,Potatoes,103333,83,8.65,80.582
Bahrain,2001,Potatoes,110000,83,9.2,81.248
Bahrain,2002,Potatoes,190000,83,0.91,80.94200000000001
Bahrain,2004,Potatoes,180000,83,12.24,80.726
Bahrain,2005,Potatoes,100000,83,12.75,80.402
Bahrain,2006,Potatoes,130000,83,12.12,80.87
Bahrain,2007,Potatoes,255556,83,16.25,80.834
Bahrain,2008,Potatoes,210000,83,10.45,80.528
Bahrain,2009,Potatoes,166667,83,12.59,81.032
Bahrain,2010,Potatoes,155598,83,9.84,82.4
Bahrain,2011,Potatoes,171162,83,9.14,80.618
Bahrain,2012,Potatoes,177812,83,9.14,81.41
Bahrain,2013,Potatoes,179569,83,9.14,82.148
Bangladesh,1990,Maize,10015,2666,1266.0,78.764
Bangladesh,1991,Maize,9781,2666,1287.0,78.53
Bangladesh,1992,Maize,9319,2666,1453.0,78.548
Bangladesh,1993,Maize,9351,2666,1487.0,78.314
Bangladesh,1994,Maize,9042,2666,1594.5,78.638
Bangladesh,1995,Maize,10700,2666,1702.0,78.962
Bangladesh,1996,Maize,10166,2666,1919.0,79.07
Bangladesh,1997,Maize,10914,2666,2035.0,77.99000000000001
Bangladesh,1998,Maize,7339,2666,2068.0,79.03399999999999
Bangladesh,1999,Maize,12346,2666,2532.0,79.358
Bangladesh,2000,Maize,20597,2666,3170.0,78.638
Bangladesh,2001,Maize,32216,2666,3295.78,78.674
Bangladesh,2002,Maize,40349,2666,2954.29,78.98
Bangladesh,2004,Maize,48243,2666,5587.81,79.05199999999999
Bangladesh,2005,Maize,53311,2666,7605.01,79.142
Bangladesh,2006,Maize,52998,2666,9074.43,79.592
Bangladesh,2007,Maize,59812,2666,10962.31,78.71
Bangladesh,2008,Maize,60172,2666,12936.5,78.8
Bangladesh,2009,Maize,56831,2666,13790.09,79.77199999999999
Bangladesh,2010,Maize,58378,2666,13283.72,79.97
Bangladesh,2011,Maize,61512,2666,14798.28,78.44
Bangladesh,2012,Maize,65838,2666,13289.18,79.304
Bangladesh,2013,Maize,65953,2666,15330.16,79.862
Belarus,1992,Maize,30000,618,8306.31,44.132000000000005
Belarus,1993,Maize,12000,618,8306.31,42.098
Belarus,1994,Maize,5000,618,8306.31,43.268
Belarus,1995,Maize,24545,618,8306.31,44.024
Belarus,1996,Maize,23000,618,8306.31,41.576
Belarus,1997,Maize,20333,618,8306.31,42.764
Belarus,1998,Maize,26522,618,8306.31,42.998000000000005
Belarus,1999,Maize,26053,618,8306.31,45.284
Belarus,2000,Maize,23077,618,8306.31,45.536
Belarus,2001,Maize,25917,618,8306.31,44.078
Belarus,2002,Maize,32889,618,8306.31,45.212
Belarus,2004,Maize,35297,618,8306.31,43.682
Belarus,2005,Maize,39965,618,8306.31,43.754000000000005
Belarus,2006,Maize,39390,618,8306.31,43.879999999999995
Belarus,2007,Maize,50653,618,8306.31,45.518
Belarus,2008,Maize,43890,618,8306.31,45.95
Belarus,2009,Maize,46818,618,8306.31,44.15
Belarus,2010,Maize,49306,618,8306.31,44.078
Belarus,2011,Maize,65950,618,8306.31,45.122
Belarus,2012,Maize,50407,618,9578.67,43.394
Belarus,2013,Maize,55656,618,9163.51,46.094
Belgium,2000,Maize,111006,847,9560.49,52.466
Belgium,2001,Maize,113522,847,8529.07,51.692
Belgium,2002,Maize,111962,847,9204.0,52.592
Belgium,2004,Maize,122246,847,9186.0,51.692
Belgium,2005,Maize,116872,847,9776.0,52.088
Belgium,2006,Maize,101929,847,8244.02,52.664
Belgium,2007,Maize,131278,847,6712.05,52.736
Belgium,2008,Maize,119258,847,6516.47,51.620000000000005
Belgium,2009,Maize,121174,847,5496.04,51.8
Belgium,2010,Maize,119283,847,4644.53,49.532
Belgium,2011,Maize,119360,847,5740.44,53.042
Belgium,2012,Maize,102438,847,6139.3,51.224000000000004
Belgium,2013,Maize,111500,847,5905.6,50.647999999999996
Botswana,1990,Maize,2899,416,17.0,67.172
Botswana,1991,Maize,3962,416,19.0,66.722
Botswana,1992,Maize,1899,416,17.0,69.062
Botswana,1993,Maize,1353,416,17.0,67.946
