Area,Year,average_rain_fall_mm_per_year,avg_temp,pesticides_tonnes
Albania,1990,1485,16.37,121.0
Albania,1991,1485,15.36,121.0
Albania,1992,1485,16.06,121.0
Albania,1993,1485,16.05,121.0
Albania,1994,1485,16.96,201.0
Albania,1995,1485,15.67,251.0
Albania,1996,1485,15.64,313.96
Albania,1997,1485,15.9,376.93
Albania,1998,1485,16.27,439.89
Albania,1999,1485,16.57,502.86
Albania,2000,1485,16.67,565.82
Albania,2001,1485,16.59,628.79
Albania,2002,1485,16.47,691.75
Albania,2004,1485,16.16,817.68
Albania,2005,1485,15.67,880.64
Albania,2006,1485,15.92,943.61
Albania,2007,1485,16.67,1006.57
Albania,2008,1485,16.71,1069.54
Albania,2009,1485,16.73,1132.5
Albania,2010,1485,16.52,1311.17
Albania,2011,1485,16.45,1302.63
Albania,2012,1485,16.7,766.25
Albania,2013,1485,17.41,982.32
Algeria,1990,89,17.48,1828.92
Algeria,1991,89,16.26,2461.8
Algeria,1992,89,16.27,1215.47
Algeria,1993,89,17.0,1021.89
Algeria,1994,89,17.88,1255.02
Algeria,1995,89,17.36,2697.09
Algeria,1996,89,16.76,479.77
Algeria,1997,89,17.84,401.22
Algeria,1998,89,17.14,322.84
Algeria,1999,89,17.97,654.45
Algeria,2000,89,17.9,603.67
Algeria,2001,89,18.13,710.11
Algeria,2002,89,17.85,816.55
Algeria,2004,89,17.38,3747.86
Algeria,2005,89,17.19,3662.87
Algeria,2006,89,18.13,4110.72
Algeria,2007,89,17.42,5390.79
Algeria,2008,89,17.55,11556.12
Algeria,2009,89,17.78,3867.99
Algeria,2010,89,17.59,1295.88
Algeria,2011,89,17.79,13861.76
Algeria,2012,89,17.91,17379.76
Algeria,2013,89,17.65,17278.65
Angola,1990,1010,24.12,64.0
Angola,1991,1010,24.02,79.0
Angola,1992,1010,23.96,23.0
Angola,1993,1010,24.15,169.0
Angola,1994,1010,24.04,25.5
Angola,1995,1010,24.56,336.0
Angola,1996,1010,24.11,40.0
Angola,1997,1010,24.06,40.0
Angola,1998,1010,24.96,40.0
Angola,1999,1010,24.37,40.0
Angola,2000,1010,24.41,40.0
Angola,2001,1010,24.43,40.0
Angola,2002,1010,24.79,40.0
Angola,2004,1010,24.22,40.0
Angola,2005,1010,24.41,40.0
Angola,2006,1010,24.14,40.0
Angola,2007,1010,24.24,40.0
Angola,2008,1010,24.27,40.0
Angola,2009,1010,24.33,40.0
Angola,2010,1010,24.44,40.0
Angola,2011,1010,24.15,40.0
Angola,2012,1010,24.24,40.0
Angola,2013,1010,24.55,40.0
Argentina,1990,591,17.46,26156.0
Argentina,1990,591,17.67,26156.0
Argentina,1991,591,17.64,26156.0
Argentina,1991,591,17.86,26156.0
Argentina,1992,591,17.09,26156.0
Argentina,1992,591,17.51,26156.0
Argentina,1993,591,17.32,26156.0
Argentina,1993,591,17.53,26156.0
Argentina,1994,591,18.17,30195.0
Argentina,1994,591,18.31,30195.0
Argentina,1995,591,17.74,37842.0
Argentina,1995,591,17.62,37842.0
Argentina,1996,591,17.64,54595.0
Argentina,1996,591,17.97,54595.0
Argentina,1997,591,18.29,77691.0
Argentina,1997,591,18.54,77691.0
Argentina,1998,591,17.23,62397.0
Argentina,1998,591,17.52,62397.0
Argentina,1999,591,17.15,62831.39
Argentina,1999,591,17.71,62831.39
Argentina,2000,591,16.98,63265.78
Argentina,2000,591,17.66,63265.78
Argentina,2001,591,17.71,63700.17
Argentina,2001,591,18.42,63700.17
Argentina,2002,591,17.58,64134.56
Argentina,2002,591,18.07,64134.56
Argentina,2004,591,17.67,65003.34
Argentina,2004,591,18.11,65003.34
Argentina,2005,591,17.32,65437.73
Argentina,2005,591,17.83,65437.73
Argentina,2006,591,18.1,65872.12
Argentina,2006,591,18.35,65872.12
Argentina,2007,591,16.71,81582.64
Argentina,2007,591,17.14,81582.64
Argentina,2008,591,17.71,87149.01
Argentina,2008,591,18.39,87149.01
Argentina,2009,591,18.16,61586.56
Argentina,2009,591,18.09,61586.56
Argentina,2010,591,17.33,105915.04
Argentina,2010,591,17.84,105915.04
Argentina,2011,591,17.58,100424.62
Argentina,2011,591,17.93,100424.62
Argentina,2012,591,18.18,136185.08
Argentina,2012,591,18.43,136185.08
Argentina,2013,591,16.45,171945.54
Argentina,2013,591,16.88,171945.54
Armenia,1992,562,7.44,8.0
Armenia,1993,562,7.69,8.0
Armenia,1994,562,8.84,23.0
Armenia,1995,562,9.76,23.9
Armenia,1996,562,9.55,32.0
Armenia,1997,562,9.1,41.46
Armenia,1998,562,10.28,50.92
Armenia,1999,562,10.11,60.38
Armenia,2000,562,9.68,69.85
Armenia,2001,562,10.18,79.31
Armenia,2002,562,9.41,88.77
Armenia,2004,562,9.55,204.77
Armenia,2005,562,9.58,220.51
Armenia,2006,562,9.89,227.55
Armenia,2007,562,9.44,241.71
Armenia,2008,562,9.51,218.2
Armenia,2009,562,9.67,198.36
Armenia,2010,562,11.31,278.72
Armenia,2011,562,8.93,278.72
Armenia,2012,562,10.2,278.72
Armenia,2013,562,11.08,278.72
Australia,1990,534,16.8,17866.0
Australia,1990,534,20.06,17866.0
Australia,1990,534,12.11,17866.0
Australia,1990,534,14.16,17866.0
Australia,1990,534,18.05,17866.0
Australia,1990,534,17.47,17866.0
Australia,1991,534,16.78,17866.0
Australia,1991,534,20.29,17866.0
Australia,1991,534,12.22,17866.0
Australia,1991,534,13.77,17866.0
Australia,1991,534,18.73,17866.0
Australia,1991,534,17.85,17866.0
Australia,1992,534,15.78,22234.0
Australia,1992,534,19.79,22234.0
Australia,1992,534,11.21,22234.0
Australia,1992,534,13.31,22234.0
Australia,1992,534,18.45,22234.0
Australia,1992,534,16.89,22234.0
Australia,1993,534,16.71,23899.0
Australia,1993,534,20.19,23899.0
Australia,1993,534,11.84,23899.0
Australia,1993,534,13.81,23899.0
Australia,1993,534,18.03,23899.0
Australia,1993,534,17.42,23899.0
Australia,1994,534,16.43,21057.0
Australia,1994,534,19.59,21057.0
Australia,1994,534,11.6,21057.0
Australia,1994,534,13.52,21057.0
Australia,1994,534,19.17,21057.0
Australia,1994,534,17.36,21057.0
Australia,1995,534,16.14,25598.0
Australia,1995,534,20.12,25598.0
Australia,1995,534,11.39,25598.0
Australia,1995,534,13.14,25598.0
Australia,1995,534,18.88,25598.0
Australia,1995,534,16.95,25598.0
