Unnamed: 0,Area,Crop,Year,Crop_Yield,Pesticide_hg/ha,Rain_mm,Temp_c
3,Albania,Sorghum,1990,12500,121.0,1485.0,16.37
5,Albania,Wheat,1990,30197,121.0,1485.0,16.37
9,Albania,Sorghum,1991,6667,121.0,1485.0,15.36
11,Albania,Wheat,1991,20698,121.0,1485.0,15.36
15,Albania,Sorghum,1992,3747,121.0,1485.0,16.06
17,Albania,Wheat,1992,24388,121.0,1485.0,16.06
22,Albania,Wheat,1993,29976,121.0,1485.0,16.05
26,Albania,Wheat,1994,24745,201.0,1485.0,16.96
30,Albania,Wheat,1995,28703,251.0,1485.0,15.67
34,Albania,Wheat,1996,21741,313.96,1485.0,15.64
38,Albania,Wheat,1997,28516,376.93,1485.0,15.9
42,Albania,Wheat,1998,28037,439.89,1485.0,16.27
46,Albania,Wheat,1999,24954,502.86,1485.0,16.57
50,Albania,Wheat,2000,30455,565.82,1485.0,16.67
54,Albania,Wheat,2001,28220,628.79,1485.0,16.59
58,Albania,Wheat,2002,31617,691.75,1485.0,16.47
62,Albania,Wheat,2004,31130,817.68,1485.0,16.16
66,Albania,Wheat,2005,31582,880.64,1485.0,15.67
70,Albania,Wheat,2006,30787,943.61,1485.0,15.92
74,Albania,Wheat,2007,35496,1006.57,1485.0,16.67
78,Albania,Wheat,2008,40168,1069.54,1485.0,16.71
82,Albania,Wheat,2009,40229,1132.5,1485.0,16.73
86,Albania,Wheat,2010,39905,1311.17,1485.0,16.52
90,Albania,Wheat,2011,42301,1302.63,1485.0,16.45
94,Albania,Wheat,2012,41096,766.25,1485.0,16.7
98,Albania,Wheat,2013,41292,982.32,1485.0,17.41
102,Algeria,Sorghum,1990,16571,1828.92,89.0,17.48
103,Algeria,Wheat,1990,6315,1828.92,89.0,17.48
107,Algeria,Sorghum,1991,24231,2461.8,89.0,16.26
108,Algeria,Wheat,1991,10809,2461.8,89.0,16.26
112,Algeria,Sorghum,1992,40000,1215.47,89.0,16.27
113,Algeria,Wheat,1992,9939,1215.47,89.0,16.27
117,Algeria,Sorghum,1993,50000,1021.89,89.0,17.0
118,Algeria,Wheat,1993,8097,1021.89,89.0,17.0
122,Algeria,Wheat,1994,7999,1255.02,89.0,17.88
126,Algeria,Sorghum,1995,12667,2697.09,89.0,17.36
127,Algeria,Wheat,1995,8924,2697.09,89.0,17.36
131,Algeria,Sorghum,1996,14750,479.77,89.0,16.76
132,Algeria,Wheat,1996,13090,479.77,89.0,16.76
136,Algeria,Sorghum,1997,40000,401.22,89.0,17.84
137,Algeria,Wheat,1997,8016,401.22,89.0,17.84
141,Algeria,Sorghum,1998,24500,322.84,89.0,17.14
142,Algeria,Wheat,1998,8847,322.84,89.0,17.14
146,Algeria,Sorghum,1999,27000,654.45,89.0,17.97
147,Algeria,Wheat,1999,10711,654.45,89.0,17.97
151,Algeria,Sorghum,2000,69500,603.67,89.0,17.9
152,Algeria,Wheat,2000,9194,603.67,89.0,17.9
156,Algeria,Sorghum,2001,27750,710.11,89.0,18.13
157,Algeria,Wheat,2001,11104,710.11,89.0,18.13
161,Algeria,Sorghum,2002,33900,816.55,89.0,17.85
162,Algeria,Wheat,2002,10739,816.55,89.0,17.85
166,Algeria,Sorghum,2004,43316,3747.86,89.0,17.38
167,Algeria,Wheat,2004,13582,3747.86,89.0,17.38
171,Algeria,Sorghum,2005,33486,3662.87,89.0,17.19
172,Algeria,Wheat,2005,15057,3662.87,89.0,17.19
176,Algeria,Sorghum,2006,56728,4110.72,89.0,18.13
177,Algeria,Wheat,2006,15068,4110.72,89.0,18.13
181,Algeria,Sorghum,2007,119059,5390.79,89.0,17.42
182,Algeria,Wheat,2007,12742,5390.79,89.0,17.42
186,Algeria,Sorghum,2008,61786,11556.12,89.0,17.55
187,Algeria,Wheat,2008,11038,11556.12,89.0,17.55
191,Algeria,Sorghum,2009,90465,3867.99,89.0,17.78
192,Algeria,Wheat,2009,15975,3867.99,89.0,17.78
196,Algeria,Sorghum,2010,30286,1295.88,89.0,17.59
197,Algeria,Wheat,2010,14838,1295.88,89.0,17.59
201,Algeria,Sorghum,2011,100000,13861.76,89.0,17.79
202,Algeria,Wheat,2011,17405,13861.76,89.0,17.79
206,Algeria,Sorghum,2012,206000,17379.76,89.0,17.91
207,Algeria,Wheat,2012,17639,17379.76,89.0,17.91
211,Algeria,Sorghum,2013,60000,17278.65,89.0,17.65
212,Algeria,Wheat,2013,19100,17278.65,89.0,17.65
213,Angola,Cassava,1990,41177,64.0,1010.0,24.12
218,Angola,Wheat,1990,7995,64.0,1010.0,24.12
219,Angola,Cassava,1991,40295,79.0,1010.0,24.02
224,Angola,Wheat,1991,8000,79.0,1010.0,24.02
225,Angola,Cassava,1992,42295,23.0,1010.0,23.96
230,Angola,Wheat,1992,8000,23.0,1010.0,23.96
231,Angola,Cassava,1993,42295,169.0,1010.0,24.15
236,Angola,Wheat,1993,8876,169.0,1010.0,24.15
237,Angola,Cassava,1994,58596,25.5,1010.0,24.04
242,Angola,Wheat,1994,10000,25.5,1010.0,24.04
243,Angola,Cassava,1995,51000,336.0,1010.0,24.56
248,Angola,Wheat,1995,11855,336.0,1010.0,24.56
249,Angola,Cassava,1996,48077,40.0,1010.0,24.11
254,Angola,Wheat,1996,13738,40.0,1010.0,24.11
255,Angola,Cassava,1997,44205,40.0,1010.0,24.06
260,Angola,Wheat,1997,15509,40.0,1010.0,24.06
261,Angola,Cassava,1998,55728,40.0,1010.0,24.96
266,Angola,Wheat,1998,17143,40.0,1010.0,24.96
267,Angola,Cassava,1999,59821,40.0,1010.0,24.37
272,Angola,Wheat,1999,17391,40.0,1010.0,24.37
273,Angola,Cassava,2000,82992,40.0,1010.0,24.41
277,Angola,Sorghum,2000,3333,40.0,1010.0,24.41
280,Angola,Wheat,2000,17023,40.0,1010.0,24.41
281,Angola,Cassava,2001,94072,40.0,1010.0,24.43
285,Angola,Sorghum,2001,3571,40.0,1010.0,24.43
288,Angola,Wheat,2001,16667,40.0,1010.0,24.43
289,Angola,Cassava,2002,110071,40.0,1010.0,24.79
293,Angola,Sorghum,2002,3400,40.0,1010.0,24.79
296,Angola,Wheat,2002,15455,40.0,1010.0,24.79
297,Angola,Cassava,2004,125605,40.0,1010.0,24.22
301,Angola,Sorghum,2004,3333,40.0,1010.0,24.22
304,Angola,Wheat,2004,12442,40.0,1010.0,24.22
305,Angola,Cassava,2005,117628,40.0,1010.0,24.41
309,Angola,Sorghum,2005,3333,40.0,1010.0,24.41
312,Angola,Wheat,2005,10946,40.0,1010.0,24.41
313,Angola,Cassava,2006,117201,40.0,1010.0,24.14
317,Angola,Sorghum,2006,4091,40.0,1010.0,24.14
320,Angola,Wheat,2006,10000,40.0,1010.0,24.14
321,Angola,Cassava,2007,115387,40.0,1010.0,24.24
325,Angola,Sorghum,2007,4031,40.0,1010.0,24.24
