"region","crop","year","yield_hg_ha","yield_t_ha","rainfall_mm","avg_temp_c","pesticide_t"
"Albania","Maize",1990,"36613","366.13","1485","16.37","121"
"Albania","Maize",1991,"29068","290.68","1485","15.36","121"
"Albania","Maize",1992,"24876","248.76","1485","16.06","121"
"Albania","Maize",1993,"24185","241.85","1485","16.05","121"
"Albania","Maize",1994,"25848","258.48","1485","16.96","201"
"Albania","Maize",1995,"31300","313","1485","15.67","251"
"Albania","Maize",1996,"32604","326.04","1485","15.64","313.96"
"Albania","Maize",1997,"31862","318.62","1485","15.9","376.93"
"Albania","Maize",1998,"33416","334.16","1485","16.27","439.89"
"Albania","Maize",1999,"37455","374.55","1485","16.57","502.86"
"Albania","Maize",2000,"38811","388.11","1485","16.67","565.82"
"Albania","Maize",2001,"38135","381.35","1485","16.59","628.79"
"Albania","Maize",2002,"39460","394.6","1485","16.47","691.75"
"Albania","Maize",2004,"46197","461.97","1485","16.16","817.68"
"Albania","Maize",2005,"45442","454.42","1485","15.67","880.64"
"Albania","Maize",2006,"50111","501.11","1485","15.92","943.61"
"Albania","Maize",2007,"46732","467.32","1485","16.67","1006.57"
"Albania","Maize",2008,"50000","500","1485","16.71","1069.54"
"Albania","Maize",2009,"55693","556.93","1485","16.73","1132.5"
"Albania","Maize",2010,"66790","667.9","1485","16.52","1311.17"
"Albania","Maize",2011,"59869","598.69","1485","16.45","1302.63"
"Albania","Maize",2012,"67290","672.9","1485","16.7","766.25"
"Albania","Maize",2013,"69533","695.33","1485","17.41","982.32"
"Albania","Potatoes",1990,"66667","666.67","1485","16.37","121"
"Albania","Potatoes",1991,"77818","778.18","1485","15.36","121"
"Albania","Potatoes",1992,"82920","829.2","1485","16.06","121"
"Albania","Potatoes",1993,"98446","984.46","1485","16.05","121"
"Albania","Potatoes",1994,"81404","814.04","1485","16.96","201"
"Albania","Potatoes",1995,"111323","1113.23","1485","15.67","251"
"Albania","Potatoes",1996,"106138","1061.38","1485","15.64","313.96"
"Albania","Potatoes",1997,"109874","1098.74","1485","15.9","376.93"
"Albania","Potatoes",1998,"127212","1272.12","1485","16.27","439.89"
"Albania","Potatoes",1999,"142018","1420.18","1485","16.57","502.86"
"Albania","Potatoes",2000,"141228","1412.28","1485","16.67","565.82"
"Albania","Potatoes",2001,"148818","1488.18","1485","16.59","628.79"
"Albania","Potatoes",2002,"153868","1538.68","1485","16.47","691.75"
"Albania","Potatoes",2004,"149346","1493.46","1485","16.16","817.68"
"Albania","Potatoes",2005,"167061","1670.61","1485","15.67","880.64"
"Albania","Potatoes",2006,"170745","1707.45","1485","15.92","943.61"
"Albania","Potatoes",2007,"188902","1889.02","1485","16.67","1006.57"
"Albania","Potatoes",2008,"193878","1938.78","1485","16.71","1069.54"
"Albania","Potatoes",2009,"219780","2197.8","1485","16.73","1132.5"
"Albania","Potatoes",2010,"231111","2311.11","1485","16.52","1311.17"
"Albania","Potatoes",2011,"242211","2422.11","1485","16.45","1302.63"
"Albania","Potatoes",2012,"250538","2505.38","1485","16.7","766.25"
"Albania","Potatoes",2013,"260110","2601.1","1485","17.41","982.32"
"Albania","Rice, paddy",1990,"23333","233.33","1485","16.37","121"
"Albania","Rice, paddy",1991,"28538","285.38","1485","15.36","121"
"Albania","Rice, paddy",1992,"40000","400","1485","16.06","121"
"Albania","Rice, paddy",1993,"41786","417.86","1485","16.05","121"
"Albania","Sorghum",1990,"12500","125","1485","16.37","121"
"Albania","Sorghum",1991,"6667","66.67","1485","15.36","121"
"Albania","Sorghum",1992,"3747","37.47","1485","16.06","121"
"Albania","Soybeans",1990,"7000","70","1485","16.37","121"
"Albania","Soybeans",1991,"6066","60.66","1485","15.36","121"
"Albania","Soybeans",1992,"4507","45.07","1485","16.06","121"
"Albania","Soybeans",1993,"7998","79.98","1485","16.05","121"
"Albania","Soybeans",1994,"7927","79.27","1485","16.96","201"
"Albania","Soybeans",1995,"11791","117.91","1485","15.67","251"
"Albania","Soybeans",1996,"15480","154.8","1485","15.64","313.96"
"Albania","Soybeans",1997,"12768","127.68","1485","15.9","376.93"
"Albania","Soybeans",1998,"14327","143.27","1485","16.27","439.89"
"Albania","Soybeans",1999,"17143","171.43","1485","16.57","502.86"
"Albania","Soybeans",2000,"15000","150","1485","16.67","565.82"
"Albania","Soybeans",2001,"20000","200","1485","16.59","628.79"
"Albania","Soybeans",2002,"20000","200","1485","16.47","691.75"
"Albania","Soybeans",2004,"13333","133.33","1485","16.16","817.68"
"Albania","Soybeans",2005,"17500","175","1485","15.67","880.64"
"Albania","Soybeans",2006,"20000","200","1485","15.92","943.61"
"Albania","Soybeans",2007,"20000","200","1485","16.67","1006.57"
"Albania","Soybeans",2008,"20000","200","1485","16.71","1069.54"
"Albania","Soybeans",2009,"16667","166.67","1485","16.73","1132.5"
"Albania","Soybeans",2010,"16667","166.67","1485","16.52","1311.17"
"Albania","Soybeans",2011,"18519","185.19","1485","16.45","1302.63"
"Albania","Soybeans",2012,"13333","133.33","1485","16.7","766.25"
"Albania","Soybeans",2013,"10000","100","1485","17.41","982.32"
"Albania","Wheat",1990,"30197","301.97","1485","16.37","121"
"Albania","Wheat",1991,"20698","206.98","1485","15.36","121"
"Albania","Wheat",1992,"24388","243.88","1485","16.06","121"
"Albania","Wheat",1993,"29976","299.76","1485","16.05","121"
"Albania","Wheat",1994,"24745","247.45","1485","16.96","201"
"Albania","Wheat",1995,"28703","287.03","1485","15.67","251"
"Albania","Wheat",1996,"21741","217.41","1485","15.64","313.96"
"Albania","Wheat",1997,"28516","285.16","1485","15.9","376.93"
"Albania","Wheat",1998,"28037","280.37","1485","16.27","439.89"
"Albania","Wheat",1999,"24954","249.54","1485","16.57","502.86"
"Albania","Wheat",2000,"30455","304.55","1485","16.67","565.82"
"Albania","Wheat",2001,"28220","282.2","1485","16.59","628.79"
"Albania","Wheat",2002,"31617","316.17","1485","16.47","691.75"
"Albania","Wheat",2004,"31130","311.3","1485","16.16","817.68"
"Albania","Wheat",2005,"31582","315.82","1485","15.67","880.64"
"Albania","Wheat",2006,"30787","307.87","1485","15.92","943.61"
"Albania","Wheat",2007,"35496","354.96","1485","16.67","1006.57"
"Albania","Wheat",2008,"40168","401.68","1485","16.71","1069.54"
"Albania","Wheat",2009,"40229","402.29","1485","16.73","1132.5"
"Albania","Wheat",2010,"39905","399.05","1485","16.52","1311.17"
"Albania","Wheat",2011,"42301","423.01","1485","16.45","1302.63"
"Albania","Wheat",2012,"41096","410.96","1485","16.7","766.25"
"Albania","Wheat",2013,"41292","412.92","1485","17.41","982.32"
"Algeria","Maize",1990,"16500","165","89","17.48","1828.92"
"Algeria","Maize",1991,"19231","192.31","89","16.26","2461.8"
"Algeria","Maize",1992,"22828","228.28","89","16.27","1215.47"
"Algeria","Maize",1993,"12500","125","89","17","1021.89"
"Algeria","Maize",1994,"4512","45.12","89","17.88","1255.02"
"Algeria","Maize",1995,"16115","161.15","89","17.36","2697.09"
"Algeria","Maize",1996,"17154","171.54","89","16.76","479.77"
